0.50808	0.54307	0.51354	0.50808	1.16794	0.50685	0.50473 0.46646
0.49632	0.50055	0.50055	0.49718	0.49302	0.48965 0.48418	2295.00
0.48063	0.48003	2295.0	0.46818	0.46894 0.60972	0.47713	1.26726
0.46599	0.54643	2295.0	0.47842 0.52064	0.58338	0.91035	2295.00							
-3.6856	-3.2842	-8.7002	0.3790	2.9466	-5.4764	-1.8040 -1.6433
16.1654	0.9444	-3.0600	11.3304	-11.1063	1.7617 -2.2278	511.
-2.3110	1.6934	511.0000	4.9015	3.1363 6.7585	3.3326	6.6322
-1.5888	2.8214	511.0000	3.8705 5.9750	11.0470	6.6644	511.0000		

0.44607	0.44035	0.44430	0.43475	0.44490	0.43210	0.43176	0.42707
0.44466	0.43776	0.42766	0.43934	0.44198	0.45147	0.42576	0.42480
0.42197	0.41632	0.41543	0.42773	0.41530	0.42271	0.42025	0.41699
0.41176	0.41599	0.41654	0.42513	0.42110	2.50000	0.41556	0.38547
0.45297	0.45376	0.45154	0.46439	0.44410	0.44814	0.44251	0.44562
0.44334	0.46130	0.45800	0.45329	0.43564	0.43645	0.41837	0.45692
0.47051	0.46851	0.47955	0.47014	0.47342	0.45345	0.45920	0.46100
0.46629	0.45344	0.44435	0.45654	0.44712	0.44466	0.43627	0.43036

102.54	134.68	106.28	105.98	98.04	99.08	128.85	118.37
70.65	114.08	120.43	89.92	100.61	109.79	103.79	135.80
128.93	127.64	100.44	94.51	115.85	96.46	100.37	109.75
61.04	69.53	84.29	77.70	82.61	65.79	97.71	132.33
114.03	114.59	102.97	77.76	107.03	107.19	128.45	106.37
87.01	87.60	83.49	80.93	93.25	86.86	101.19	63.27
118.48	129.34	105.12	103.69	93.81	104.11	98.75	88.19
64.17	75.20	96.69	74.91	87.67	75.23	101.90	112.22


1.27453 1.27036 1.28478 1.26489 1.31241 1.27767 1.27165 1.34150

3351.62 3514.59 3361.32 3426.56 3117.06 3362.62 3245.28 3166.62


0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0

-115.5 335.5 336.5 332.5 328.5 328.5 329.5 329.5
329.5 333.5 328.5 333.5 325.5 333.5 336.5 337.5 
325.5 333.5 329.5 333.5 329.5 333.5 334.5 334.5 
327.5 334.5 326.5 334.5 330.5 334.5 334.5 330.5
323.5 331.5 330.5 331.5 330.5 330.5 330.5 331.5 
327.5 331.5 327.5 330.5 326.5 326.5 325.5 325.5
325.5 332.5 333.5 333.5 328.5 332.5 332.5 333.5
325.5 330.5 331.5 336.5 324.5 331.5 332.5 332.5


0	0	0	0	0	0	0	0


199.5	218.0	226.5	234.5
