0.51563773	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1

-22.93736681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0


0.35573266	1	1	1	1	1	1	1
0.38186082	1	1	1	1	1	1	1
0.34249508	1	1	1	1	1	1	1
0.35628575	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1

227.93592119	0	0	0	0	0	0	0
126.91993068	0	0	0	0	0	0	0
243.67990074	0	0	0	0	0	0	0
124.60751597	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0

1.57414440e+00	1.57947253e+00	1.57786714e+00	1.52821370e+00	1.61900229	1.58818863e+00	1.55061722e+00	1.56977929e+00

1.74821111e+03	1.85045672e+03	1.67980752e+03	1.73321680e+03	1478.32038011	1.65695718e+03	1.72261722e+03	1.61644397e+03
